始発駅,終着駅,最長経路距離
1,2,255.3
1,3,244.5
1,4,243.2
1,5,230.8
1,6,215.4
1,7,223.0
1,8,181.0
1,9,217.3
2,1,33.4
2,2,221.9
2,3,211.1
2,4,209.8
2,5,197.4
2,6,182.0
2,7,189.6
2,8,147.6
2,9,183.9
3,1,228.0
3,2,194.6
3,3,221.9
3,4,168.6
3,5,187.9
3,6,192.8
3,7,200.4
3,8,140.5
3,9,176.8
4,1,229.3
4,2,195.9
4,3,168.6
4,4,221.9
4,5,209.5
4,6,139.5
4,7,197.0
4,8,159.7
4,9,196.0
5,1,210.5
5,2,177.1
5,3,187.9
5,4,203.1
5,5,221.9
5,6,4.9
5,7,112.2
5,8,172.1
5,9,208.4
6,1,215.4
6,2,182.0
6,3,192.8
6,4,208.0
6,5,226.8
6,7,117.1
6,8,177.0
6,9,213.3
7,1,218.3
7,2,184.9
7,3,212.2
7,4,197.0
7,5,112.2
7,6,117.1
7,7,221.9
7,8,162.0
7,9,198.3
8,1,181.0
8,2,147.6
8,3,174.9
8,4,159.7
8,5,174.5
8,6,177.0
8,7,184.6
8,8,221.9
8,9,36.3
9,1,217.3
9,2,183.9
9,3,211.2
9,4,196.0
9,5,210.8
9,6,213.3
9,7,220.9
9,8,258.2
